city,state_id,state_name,county_name,county_fips,zips,population
Adak,AK,Alaska,Aleutians West,02016,99546,141
Akhiok,AK,Alaska,Kodiak Island,02150,99615,117
Akiachak,AK,Alaska,Bethel,02050,99551,629
Akiak,AK,Alaska,Bethel,02050,99552,273
Akutan,AK,Alaska,Aleutians East,02013,99553,737
Alakanuk,AK,Alaska,Kusilvak,02158,99554,997
Alatna,AK,Alaska,Yukon-Koyukuk,02290,99720,22
Alcan Border,AK,Alaska,Southeast Fairbanks,02240,99764,5
Aleknagik,AK,Alaska,Dillingham,02070,99555,109
Aleneva,AK,Alaska,Kodiak Island,02150,99615,0
Allakaket,AK,Alaska,Yukon-Koyukuk,02290,99720,173
Ambler,AK,Alaska,Northwest Arctic,02188,99786,201
Anaktuvuk Pass,AK,Alaska,North Slope,02185,99721,277
Anchor Point,AK,Alaska,Kenai Peninsula,02122,99556 99603,2291
Anchorage,AK,Alaska,Anchorage,02020,99501 99502 99503 99504 99505 99506 99507 99508 99509 99510 99511 99513 99514 99515 99516 99517 99518 99519 99520 99521 99522 99523 99524 99529 99530 99540 99567 99577 99587 99599 99695,289069
Anderson,AK,Alaska,Denali,02068,99704 99743 99744,160
Angoon,AK,Alaska,Hoonah-Angoon,02105,99820,467
Aniak,AK,Alaska,Bethel,02050,99557,571
Anvik,AK,Alaska,Yukon-Koyukuk,02290,99558,85
Arctic Village,AK,Alaska,Yukon-Koyukuk,02290,99722,177
Atka,AK,Alaska,Aleutians West,02016,99547,26
Atmautluak,AK,Alaska,Bethel,02050,99559,38
Atqasuk,AK,Alaska,North Slope,02185,99791,139
Attu Station,AK,Alaska,Aleutians West,02016,,15
Badger,AK,Alaska,Fairbanks North Star,02090,99705 99712,19033
Bear Creek,AK,Alaska,Kenai Peninsula,02122,99664,1360
Beaver,AK,Alaska,Yukon-Koyukuk,02290,99724,82
Beluga,AK,Alaska,Kenai Peninsula,02122,99682,5
Bethel,AK,Alaska,Bethel,02050,99559,6313
Bettles,AK,Alaska,Yukon-Koyukuk,02290,99726,0
Big Delta,AK,Alaska,Southeast Fairbanks,02240,99737,646
Big Lake,AK,Alaska,Matanuska-Susitna,02170,99623 99652,3291
Birch Creek,AK,Alaska,Yukon-Koyukuk,02290,99730,5
Brevig Mission,AK,Alaska,Nome,02180,99785,691
Buckland,AK,Alaska,Northwest Arctic,02188,99727,629
Buffalo Soapstone,AK,Alaska,Matanuska-Susitna,02170,99645,799
Butte,AK,Alaska,Matanuska-Susitna,02170,99645,3905
Cantwell,AK,Alaska,Denali,02068,99729,121
Central,AK,Alaska,Yukon-Koyukuk,02290,99730,93
Chalkyitsik,AK,Alaska,Yukon-Koyukuk,02290,99788,103
Chase,AK,Alaska,Matanuska-Susitna,02170,99676,25
Chefornak,AK,Alaska,Bethel,02050,99561,530
Chena Ridge,AK,Alaska,Fairbanks North Star,02090,99709,5927
Chenega,AK,Alaska,Chugach,02063,99574,54
Chevak,AK,Alaska,Kusilvak,02158,99563,464
Chickaloon,AK,Alaska,Matanuska-Susitna,02170,99674,318
Chicken,AK,Alaska,Southeast Fairbanks,02240,99732,0
Chignik,AK,Alaska,Lake and Peninsula,02164,99564,28
Chignik Lagoon,AK,Alaska,Lake and Peninsula,02164,99565,31
Chignik Lake,AK,Alaska,Lake and Peninsula,02164,99548,31
Chiniak,AK,Alaska,Kodiak Island,02150,99615,0
Chistochina,AK,Alaska,Copper River,02066,99586,52
Chitina,AK,Alaska,Copper River,02066,99566,100
Chuathbaluk,AK,Alaska,Bethel,02050,99557,89
Circle,AK,Alaska,Yukon-Koyukuk,02290,99733,48
Clam Gulch,AK,Alaska,Kenai Peninsula,02122,99568,294
Clark's Point,AK,Alaska,Dillingham,02070,99569,19
Coffman Cove,AK,Alaska,Prince of Wales-Hyder,02198,99918,249
Cohoe,AK,Alaska,Kenai Peninsula,02122,99568 99610,1619
Cold Bay,AK,Alaska,Aleutians East,02013,99571,153
Coldfoot,AK,Alaska,Yukon-Koyukuk,02290,99701,300
College,AK,Alaska,Fairbanks North Star,02090,99709 99775,11730
Cooper Landing,AK,Alaska,Kenai Peninsula,02122,99572 99664,231
Copper Center,AK,Alaska,Copper River,02066,99573,312
Cordova,AK,Alaska,Chugach,02063,99574,2405
Covenant Life,AK,Alaska,Haines,02100,99827,19
Craig,AK,Alaska,Prince of Wales-Hyder,02198,99921,1063
Crooked Creek,AK,Alaska,Bethel,02050,99575,18
Crown Point,AK,Alaska,Kenai Peninsula,02122,99664,76
Deering,AK,Alaska,Northwest Arctic,02188,99736,205
Delta Junction,AK,Alaska,Southeast Fairbanks,02240,99737,1154
Deltana,AK,Alaska,Southeast Fairbanks,02240,99737,2064
Denali Park,AK,Alaska,Denali,02068,99729 99755,787
Diamond Ridge,AK,Alaska,Kenai Peninsula,02122,99556 99603,1338
Dillingham,AK,Alaska,Dillingham,02070,99576,2084
Diomede,AK,Alaska,Nome,02180,99762,25
Dot Lake,AK,Alaska,Southeast Fairbanks,02240,99737,0
Dot Lake Village,AK,Alaska,Southeast Fairbanks,02240,99737,0
Dry Creek,AK,Alaska,Southeast Fairbanks,02240,99737,147
Eagle,AK,Alaska,Southeast Fairbanks,02240,99738,94
Eagle Village,AK,Alaska,Southeast Fairbanks,02240,99738,64
Eareckson Station,AK,Alaska,Aleutians West,02016,,144
Edna Bay,AK,Alaska,Prince of Wales-Hyder,02198,99921,13
Eek,AK,Alaska,Bethel,02050,99578,332
Egegik,AK,Alaska,Lake and Peninsula,02164,99579,50
Eielson AFB,AK,Alaska,Fairbanks North Star,02090,99702 99705,3133
Ekwok,AK,Alaska,Dillingham,02070,99580,35
Elfin Cove,AK,Alaska,Hoonah-Angoon,02105,99825,13
Elim,AK,Alaska,Nome,02180,99739,278
Emmonak,AK,Alaska,Kusilvak,02158,99581,945
Ester,AK,Alaska,Fairbanks North Star,02090,99709 99725,2784
Eureka Roadhouse,AK,Alaska,Matanuska-Susitna,02170,99588 99674,0
Evansville,AK,Alaska,Yukon-Koyukuk,02290,99726,15
Excursion Inlet,AK,Alaska,Haines,02100,99827 99850,66
Fairbanks,AK,Alaska,Fairbanks North Star,02090,99701 99703 99706 99707 99708 99709 99710 99711 99712 99775 99790,32242
False Pass,AK,Alaska,Aleutians East,02013,99583,95
Farm Loop,AK,Alaska,Matanuska-Susitna,02170,99645,2940
Farmers Loop,AK,Alaska,Fairbanks North Star,02090,99709 99712,4887
Ferry,AK,Alaska,Denali,02068,99743,33
Fishhook,AK,Alaska,Matanuska-Susitna,02170,99645 99654,5461
Fort Greely,AK,Alaska,Southeast Fairbanks,02240,99731 99737,85
Fort Yukon,AK,Alaska,Yukon-Koyukuk,02290,99740,583
Four Mile Road,AK,Alaska,Yukon-Koyukuk,02290,99760,0
Fox,AK,Alaska,Fairbanks North Star,02090,99712,13
Fox River,AK,Alaska,Kenai Peninsula,02122,99603,605
Fritz Creek,AK,Alaska,Kenai Peninsula,02122,99603,2432
Funny River,AK,Alaska,Kenai Peninsula,02122,99669,1127
Gakona,AK,Alaska,Copper River,02066,99586,200
Galena,AK,Alaska,Yukon-Koyukuk,02290,99741,565
Gambell,AK,Alaska,Nome,02180,99742,464
Game Creek,AK,Alaska,Hoonah-Angoon,02105,99829,0
Gateway,AK,Alaska,Matanuska-Susitna,02170,99645 99654,6716
Glacier View,AK,Alaska,Matanuska-Susitna,02170,99674,209
Glennallen,AK,Alaska,Copper River,02066,99588,601
Goldstream,AK,Alaska,Fairbanks North Star,02090,99709,3238
Golovin,AK,Alaska,Nome,02180,99762,205
Goodnews Bay,AK,Alaska,Bethel,02050,99589,113
Grayling,AK,Alaska,Yukon-Koyukuk,02290,99590,171
Gulkana,AK,Alaska,Copper River,02066,99586 99588,73
Gustavus,AK,Alaska,Hoonah-Angoon,02105,99826,610
Haines,AK,Alaska,Haines,02100,99827,1781
Halibut Cove,AK,Alaska,Kenai Peninsula,02122,99603,214
Happy Valley,AK,Alaska,Kenai Peninsula,02122,99556 99639,773
Harding-Birch Lakes,AK,Alaska,Fairbanks North Star,02090,99714,206
Healy,AK,Alaska,Denali,02068,99743 99760,723
Healy Lake,AK,Alaska,Southeast Fairbanks,02240,99706,31
Hollis,AK,Alaska,Prince of Wales-Hyder,02198,99921,147
Holy Cross,AK,Alaska,Yukon-Koyukuk,02290,99602,229
Homer,AK,Alaska,Kenai Peninsula,02122,99603,5750
Hoonah,AK,Alaska,Hoonah-Angoon,02105,99829,894
Hooper Bay,AK,Alaska,Kusilvak,02158,99604,1008
Hope,AK,Alaska,Kenai Peninsula,02122,99605,28
Houston,AK,Alaska,Matanuska-Susitna,02170,99652 99694,1693
Hughes,AK,Alaska,Yukon-Koyukuk,02290,99745,32
Huslia,AK,Alaska,Yukon-Koyukuk,02290,99746,136
Hydaburg,AK,Alaska,Prince of Wales-Hyder,02198,99922,297
Hyder,AK,Alaska,Prince of Wales-Hyder,02198,99923,16
Igiugig,AK,Alaska,Lake and Peninsula,02164,99613,68
Iliamna,AK,Alaska,Lake and Peninsula,02164,99606,45
Ivanof Bay,AK,Alaska,Lake and Peninsula,02164,99695,0
Juneau,AK,Alaska,Juneau,02110,99801 99802 99803 99811 99812 99850,31969
Kachemak,AK,Alaska,Kenai Peninsula,02122,99603,835
Kake,AK,Alaska,Prince of Wales-Hyder,02198,99830,598
Kaktovik,AK,Alaska,North Slope,02185,99747,153
Kalifornsky,AK,Alaska,Kenai Peninsula,02122,99610 99611 99669,8136
Kaltag,AK,Alaska,Yukon-Koyukuk,02290,99748,146
Karluk,AK,Alaska,Kodiak Island,02150,99608,26
Kasaan,AK,Alaska,Prince of Wales-Hyder,02198,99919,72
Kasigluk,AK,Alaska,Bethel,02050,99609,692
Kasilof,AK,Alaska,Kenai Peninsula,02122,99610,404
Kenai,AK,Alaska,Kenai Peninsula,02122,99611,7562
Kenny Lake,AK,Alaska,Copper River,02066,99573,232
Ketchikan,AK,Alaska,Ketchikan Gateway,02130,99901 99950,8151
Kiana,AK,Alaska,Northwest Arctic,02188,99749,471
King Cove,AK,Alaska,Aleutians East,02013,99612,1204
King Salmon,AK,Alaska,Bristol Bay,02060,99613,354
Kipnuk,AK,Alaska,Bethel,02050,99614,488
Kivalina,AK,Alaska,Northwest Arctic,02188,99750,813
Klawock,AK,Alaska,Prince of Wales-Hyder,02198,99925,744
Klukwan,AK,Alaska,Hoonah-Angoon,02105,99827,89
Knik River,AK,Alaska,Matanuska-Susitna,02170,99645,858
Knik-Fairview,AK,Alaska,Matanuska-Susitna,02170,99623 99652 99654,18921
Kobuk,AK,Alaska,Northwest Arctic,02188,99751,125
Kodiak,AK,Alaska,Kodiak Island,02150,99615 99619 99697,5497
Kodiak Station,AK,Alaska,Kodiak Island,02150,99615,1941
Kokhanok,AK,Alaska,Lake and Peninsula,02164,99606,91
Koliganek,AK,Alaska,Dillingham,02070,99576,224
Kongiganak,AK,Alaska,Bethel,02050,99545 99559,262
Kotlik,AK,Alaska,Kusilvak,02158,99620,1166
Kotzebue,AK,Alaska,Northwest Arctic,02188,99752,3046
Koyuk,AK,Alaska,Nome,02180,99753,306
Koyukuk,AK,Alaska,Yukon-Koyukuk,02290,99754,44
Kupreanof,AK,Alaska,Petersburg,02195,99833,7
Kwethluk,AK,Alaska,Bethel,02050,99621,852
Kwigillingok,AK,Alaska,Bethel,02050,99622,461
Lake Louise,AK,Alaska,Matanuska-Susitna,02170,99588,0
Lake Minchumina,AK,Alaska,Yukon-Koyukuk,02290,99757,14
Larsen Bay,AK,Alaska,Kodiak Island,02150,99624,108
Lazy Mountain,AK,Alaska,Matanuska-Susitna,02170,99645,1472
Levelock,AK,Alaska,Lake and Peninsula,02164,99625,18
Lime Village,AK,Alaska,Bethel,02050,99557,9
Livengood,AK,Alaska,Yukon-Koyukuk,02290,99790,11
Loring,AK,Alaska,Ketchikan Gateway,02130,99901,0
Lowell Point,AK,Alaska,Kenai Peninsula,02122,99664,0
Lower Kalskag,AK,Alaska,Bethel,02050,99626,234
Lutak,AK,Alaska,Haines,02100,99827,13
Manley Hot Springs,AK,Alaska,Yukon-Koyukuk,02290,99756,20
Manokotak,AK,Alaska,Dillingham,02070,99628,693
Marshall,AK,Alaska,Kusilvak,02158,99585,426
McCarthy,AK,Alaska,Copper River,02066,99566,2
McGrath,AK,Alaska,Yukon-Koyukuk,02290,99627,195
Meadow Lakes,AK,Alaska,Matanuska-Susitna,02170,99623 99652 99654 99688,8994
Mekoryuk,AK,Alaska,Bethel,02050,99630,290
Mendeltna,AK,Alaska,Copper River,02066,99588,58
Mentasta Lake,AK,Alaska,Copper River,02066,99586 99780,94
Metlakatla,AK,Alaska,Prince of Wales-Hyder,02198,99926,1338
Mill Bay,AK,Alaska,Kodiak Island,02150,99615,3541
Minto,AK,Alaska,Yukon-Koyukuk,02290,99758,190
Moose Creek,AK,Alaska,Fairbanks North Star,02090,99705,332
Moose Pass,AK,Alaska,Kenai Peninsula,02122,99631,79
Mosquito Lake,AK,Alaska,Haines,02100,99827,137
Mountain Village,AK,Alaska,Kusilvak,02158,99632,872
Mud Bay,AK,Alaska,Haines,02100,99827,58
Nabesna,AK,Alaska,Copper River,02066,99586,0
Naknek,AK,Alaska,Bristol Bay,02060,99633,458
Nanwalek,AK,Alaska,Kenai Peninsula,02122,99603,208
Napakiak,AK,Alaska,Bethel,02050,99634,595
Napaskiak,AK,Alaska,Bethel,02050,99559,563
Naukati Bay,AK,Alaska,Prince of Wales-Hyder,02198,99921,97
Nelchina,AK,Alaska,Copper River,02066,99588,106
Nelson Lagoon,AK,Alaska,Aleutians East,02013,99571,83
Nenana,AK,Alaska,Yukon-Koyukuk,02290,99760,527
New Stuyahok,AK,Alaska,Dillingham,02070,99636,466
Newhalen,AK,Alaska,Lake and Peninsula,02164,99606,100
Newtok,AK,Alaska,Bethel,02050,99559,40
Nightmute,AK,Alaska,Bethel,02050,99690,67
Nikiski,AK,Alaska,Kenai Peninsula,02122,99611 99635,4656
Nikolaevsk,AK,Alaska,Kenai Peninsula,02122,99556,202
Nikolai,AK,Alaska,Yukon-Koyukuk,02290,99691,89
Nikolski,AK,Alaska,Aleutians West,02016,99638,1
Ninilchik,AK,Alaska,Kenai Peninsula,02122,99568 99639,1009
Noatak,AK,Alaska,Northwest Arctic,02188,99761,700
Nome,AK,Alaska,Nome,02180,99762,3668
Nondalton,AK,Alaska,Lake and Peninsula,02164,99640,73
Noorvik,AK,Alaska,Northwest Arctic,02188,99763,722
North Lakes,AK,Alaska,Matanuska-Susitna,02170,99645 99654,10583
North Pole,AK,Alaska,Fairbanks North Star,02090,99705,2663
Northway,AK,Alaska,Southeast Fairbanks,02240,99764,202
Nuiqsut,AK,Alaska,North Slope,02185,99789,529
Nulato,AK,Alaska,Yukon-Koyukuk,02290,99765,284
Nunam Iqua,AK,Alaska,Kusilvak,02158,99666,0
Nunapitchuk,AK,Alaska,Bethel,02050,99641,766
Old Harbor,AK,Alaska,Kodiak Island,02150,99615 99643,186
Oscarville,AK,Alaska,Bethel,02050,99559,56
Ouzinkie,AK,Alaska,Kodiak Island,02150,99644,97
Palmer,AK,Alaska,Matanuska-Susitna,02170,99645,6141
Paxson,AK,Alaska,Copper River,02066,99737,20
Pedro Bay,AK,Alaska,Lake and Peninsula,02164,99647,14
Pelican,AK,Alaska,Hoonah-Angoon,02105,99832,45
Perryville,AK,Alaska,Lake and Peninsula,02164,99648,95
Petersburg,AK,Alaska,Petersburg,02195,99833,3346
Petersville,AK,Alaska,Matanuska-Susitna,02170,99683,42
Pilot Point,AK,Alaska,Lake and Peninsula,02164,99649,54
Pilot Station,AK,Alaska,Kusilvak,02158,99650,558
Pitkas Point,AK,Alaska,Kusilvak,02158,99658,221
Platinum,AK,Alaska,Bethel,02050,99651,25
Pleasant Valley,AK,Alaska,Fairbanks North Star,02090,99712,507
Point Baker,AK,Alaska,Prince of Wales-Hyder,02198,99927,0
Point Hope,AK,Alaska,North Slope,02185,99766,721
Point Lay,AK,Alaska,North Slope,02185,99759,288
Point MacKenzie,AK,Alaska,Matanuska-Susitna,02170,99623,1728
Point Possession,AK,Alaska,Kenai Peninsula,02122,99611,0
Port Alexander,AK,Alaska,Prince of Wales-Hyder,02198,99836,26
Port Alsworth,AK,Alaska,Lake and Peninsula,02164,99653,174
Port Clarence,AK,Alaska,Nome,02180,,17
Port Graham,AK,Alaska,Kenai Peninsula,02122,99603,125
Port Heiden,AK,Alaska,Lake and Peninsula,02164,99549,73
Port Lions,AK,Alaska,Kodiak Island,02150,99550,151
Port Protection,AK,Alaska,Prince of Wales-Hyder,02198,99927,18
Portage Creek,AK,Alaska,Dillingham,02070,99576,5
Primrose,AK,Alaska,Kenai Peninsula,02122,99664,125
Prudhoe Bay,AK,Alaska,North Slope,02185,99519 99734,1971
Quinhagak,AK,Alaska,Bethel,02050,99655,1302
Rampart,AK,Alaska,Yukon-Koyukuk,02290,99767,0
Red Devil,AK,Alaska,Bethel,02050,99656,3
Red Dog Mine,AK,Alaska,Northwest Arctic,02188,99752,0
Ridgeway,AK,Alaska,Kenai Peninsula,02122,99611 99669,2174
Ruby,AK,Alaska,Yukon-Koyukuk,02290,99768,180
Russian Mission,AK,Alaska,Kusilvak,02158,99657,202
Salamatof,AK,Alaska,Kenai Peninsula,02122,99611,1201
Salcha,AK,Alaska,Fairbanks North Star,02090,99714,1076
Sand Point,AK,Alaska,Aleutians East,02013,99661,1146
Savoonga,AK,Alaska,Nome,02180,99769,766
Saxman,AK,Alaska,Ketchikan Gateway,02130,99901,354
Scammon Bay,AK,Alaska,Kusilvak,02158,99662,491
Selawik,AK,Alaska,Northwest Arctic,02188,99770,403
Seldovia,AK,Alaska,Kenai Peninsula,02122,99663,174
Seldovia Village,AK,Alaska,Kenai Peninsula,02122,99663,207
Seward,AK,Alaska,Kenai Peninsula,02122,99664,2735
