zip,county_fips,county_name
00501,36103,Suffolk
00544,36103,Suffolk
00601,72001,Adjuntas
00602,72003,Aguada
00603,72005,Aguadilla
00606,72093,Maricao
00610,72011,Añasco
00611,72141,Utuado
00612,72013,Arecibo
00616,72013,Arecibo
00617,72017,Barceloneta
00622,72023,Cabo Rojo
00623,72023,Cabo Rojo
00624,72111,Peñuelas
00627,72027,Camuy
00631,72001,Adjuntas
00636,72125,San Germán
00637,72121,Sabana Grande
00638,72039,Ciales
00641,72141,Utuado
00646,72051,Dorado
00647,72055,Guánica
00650,72054,Florida
00652,72013,Arecibo
00653,72055,Guánica
00656,72059,Guayanilla
00659,72065,Hatillo
00660,72067,Hormigueros
00662,72071,Isabela
00664,72073,Jayuya
00667,72079,Lajas
00669,72081,Lares
00670,72083,Las Marías
00674,72091,Manatí
00676,72099,Moca
00677,72117,Rincón
00678,72115,Quebradillas
00680,72097,Mayagüez
00682,72097,Mayagüez
00683,72125,San Germán
00685,72131,San Sebastián
00687,72101,Morovis
00688,72013,Arecibo
00690,72005,Aguadilla
00692,72143,Vega Alta
00693,72145,Vega Baja
00694,72145,Vega Baja
00698,72153,Yauco
00703,72007,Aguas Buenas
00704,72123,Salinas
00705,72009,Aibonito
00707,72095,Maunabo
00714,72015,Arroyo
00715,72113,Ponce
00716,72113,Ponce
00717,72113,Ponce
00718,72103,Naguabo
00719,72105,Naranjito
00720,72107,Orocovis
00723,72109,Patillas
00725,72025,Caguas
00727,72025,Caguas
00728,72113,Ponce
00729,72029,Canóvanas
00730,72113,Ponce
00731,72113,Ponce
00735,72037,Ceiba
00736,72035,Cayey
00738,72053,Fajardo
00739,72041,Cidra
00740,72053,Fajardo
00741,72069,Humacao
00745,72119,Río Grande
00751,72123,Salinas
00754,72129,San Lorenzo
00757,72133,Santa Isabel
00765,72147,Vieques
00766,72149,Villalba
00767,72151,Yabucoa
00769,72043,Coamo
00771,72085,Las Piedras
00772,72087,Loíza
00773,72089,Luquillo
00775,72049,Culebra
00777,72077,Juncos
00778,72063,Gurabo
00780,72113,Ponce
00782,72045,Comerío
00783,72047,Corozal
00784,72057,Guayama
00786,72009,Aibonito
00791,72069,Humacao
00794,72019,Barranquitas
00795,72075,Juana Díaz
00901,72127,San Juan
00906,72127,San Juan
00907,72127,San Juan
00909,72127,San Juan
00911,72127,San Juan
00912,72127,San Juan
00913,72127,San Juan
00915,72127,San Juan
00917,72127,San Juan
00918,72127,San Juan
00920,72127,San Juan
00921,72127,San Juan
00923,72127,San Juan
00924,72127,San Juan
00925,72127,San Juan
00926,72127,San Juan
00927,72127,San Juan
00934,72061,Guaynabo
00949,72137,Toa Baja
00950,72051,Dorado
00951,72137,Toa Baja
00952,72137,Toa Baja
00953,72135,Toa Alta
00956,72021,Bayamón
00957,72021,Bayamón
00959,72021,Bayamón
00960,72021,Bayamón
00961,72021,Bayamón
00962,72033,Cataño
00965,72061,Guaynabo
00966,72061,Guaynabo
00968,72061,Guaynabo
00969,72061,Guaynabo
00971,72061,Guaynabo
00976,72139,Trujillo Alto
00979,72031,Carolina
00982,72031,Carolina
00983,72031,Carolina
00985,72031,Carolina
00987,72031,Carolina
01001,25013,Hampden
01002,25015,Hampshire
01003,25015,Hampshire
01004,25015,Hampshire
01005,25027,Worcester
01007,25015,Hampshire
01008,25013,Hampden
01009,25013,Hampden
01010,25013,Hampden
01011,25013,Hampden
01012,25015,Hampshire
01013,25013,Hampden
01014,25013,Hampden
01020,25013,Hampden
01021,25013,Hampden
01022,25013,Hampden
01026,25015,Hampshire
01027,25015,Hampshire
01028,25013,Hampden
01029,25003,Berkshire
01030,25013,Hampden
01031,25027,Worcester
01032,25015,Hampshire
01033,25015,Hampshire
01034,25013,Hampden
01035,25015,Hampshire
01036,25013,Hampden
01037,25027,Worcester
01038,25015,Hampshire
01039,25015,Hampshire
01040,25013,Hampden
01041,25013,Hampden
01050,25015,Hampshire
01053,25015,Hampshire
01054,25011,Franklin
01056,25013,Hampden
01057,25013,Hampden
01059,25015,Hampshire
01060,25015,Hampshire
01061,25015,Hampshire
01062,25015,Hampshire
01063,25015,Hampshire
01066,25015,Hampshire
01068,25027,Worcester
01069,25013,Hampden
